EOS
Date,Open,High,Low,Close,Volume,Market Cap
Nov 25 2017,1.88,2.06,1.79,2.05,48.591.800,934.125.000
Nov 24 2017,1.89,1.91,1.73,1.88,44.111.800,936.708.000
Nov 23 2017,1.89,1.98,1.85,1.89,42.235.000,929.842.000
Nov 22 2017,1.91,1.98,1.79,1.89,44.297.600,937.115.000
Nov 21 2017,2.00,2.11,1.85,1.90,56.022.900,976.585.000
Nov 20 2017,1.89,2.04,1.83,1.99,55.477.200,917.196.000
Nov 19 2017,1.92,2.03,1.77,1.88,55.081.600,928.877.000
Nov 18 2017,1.74,1.98,1.66,1.93,52.951.400,840.206.000
Nov 17 2017,1.66,1.82,1.60,1.75,50.782.500,797.405.000
Nov 16 2017,1.67,1.84,1.57,1.65,64.675.200,800.620.000
Nov 15 2017,1.68,1.74,1.54,1.67,64.150.700,794.660.000
Nov 14 2017,1.18,1.67,1.18,1.67,107.326.000,555.067.000
Nov 13 2017,1.09,1.19,1.08,1.18,20.848.600,513.122.000
Nov 12 2017,1.16,1.18,1.04,1.09,29.229.800,541.171.000
Nov 11 2017,1.03,1.18,1.01,1.16,27.539.300,478.130.000
Nov 10 2017,1.18,1.18,0.994880,1.03,23.024.200,546.866.000
Nov 09 2017,1.13,1.21,1.13,1.18,24.725.800,521.918.000
Nov 08 2017,0.951020,1.18,0.947023,1.13,37.971.000,436.217.000
Nov 07 2017,0.921145,0.987035,0.921145,0.951407,16.941.200,417.944.000
Nov 06 2017,1.07,1.07,0.914666,0.916950,26.059.800,481.154.000
Nov 05 2017,1.11,1.16,0.985319,1.09,32.996.400,498.621.000
Nov 04 2017,1.20,1.29,1.06,1.12,37.546.000,536.628.000
Nov 03 2017,1.12,1.39,1.06,1.21,59.247.900,496.753.000
Nov 02 2017,1.05,1.27,0.924324,1.12,68.358.600,462.451.000
Nov 01 2017,0.785862,1.27,0.758617,1.05,74.917.400,345.787.000
Oct 31 2017,0.712702,0.781782,0.672324,0.781782,16.200.000,312.268.000
Oct 30 2017,0.667644,0.742194,0.646114,0.711433,20.481.800,291.212.000
Oct 29 2017,0.536399,0.680899,0.536399,0.665881,19.902.600,232.441.000
Oct 28 2017,0.522242,0.539194,0.521951,0.536368,5.960.600,225.217.000
