Dash
Date,Open,High,Low,Close
Nov 05 2017,274.33,277.00,270.29,273.17
Nov 04 2017,278.58,280.96,271.31,274.68
Nov 03 2017,263.89,281.39,262.98,278.59
Nov 02 2017,271.79,272.78,251.56,265.31
Nov 01 2017,278.50,279.67,270.77,271.56
Oct 31 2017,285.39,286.21,278.73,279.15
Oct 30 2017,283.65,287.69,282.32,285.94
Oct 29 2017,275.25,288.60,275.25,283.93
Oct 28 2017,281.42,287.92,272.36,275.69
Oct 27 2017,286.14,289.13,279.33,280.48
Oct 26 2017,289.03,292.41,282.78,286.13
Oct 25 2017,294.47,298.78,283.92,289.14
Oct 24 2017,283.94,302.65,277.20,293.20
Oct 23 2017,275.44,291.24,263.91,284.23
Oct 22 2017,277.93,283.88,269.73,275.70
Oct 21 2017,288.95,290.12,272.08,277.86
Oct 20 2017,295.41,301.66,288.19,289.19
Oct 19 2017,297.85,300.16,291.89,295.47
Oct 18 2017,300.02,300.19,280.05,297.26
Oct 17 2017,302.28,304.33,298.17,299.88
Oct 16 2017,309.46,310.98,300.75,302.21
Oct 15 2017,317.01,317.01,294.34,309.51
Oct 14 2017,310.23,319.02,306.94,316.69
Oct 13 2017,292.39,311.69,289.19,310.38
Oct 12 2017,298.12,298.40,290.04,291.91
Oct 11 2017,291.41,301.50,286.64,298.40
Oct 10 2017,283.55,296.02,280.08,291.27
Oct 09 2017,299.70,300.84,271.83,283.67
Oct 08 2017,310.25,315.02,301.11,302.48
Oct 07 2017,307.54,314.22,303.77,310.49
Oct 06 2017,305.25,311.21,304.36,306.88
Oct 05 2017,305.39,307.54,296.74,305.40
Oct 04 2017,296.74,315.79,296.74,305.46
Oct 03 2017,308.56,310.21,291.70,296.24
Oct 02 2017,315.95,320.79,306.57,308.69
Oct 01 2017,326.94,327.50,315.76,315.80
Sep 30 2017,327.34,331.81,326.16,327.14
Sep 29 2017,337.93,338.89,318.70,327.70
Sep 28 2017,345.97,346.54,328.83,338.25
Sep 27 2017,338.69,348.49,337.57,346.43
Sep 26 2017,345.08,349.49,338.35,339.10
Sep 25 2017,330.63,346.35,330.63,345.09
Sep 24 2017,350.40,358.04,331.17,331.85
Sep 23 2017,346.76,358.44,342.39,350.79
Sep 22 2017,331.11,355.75,331.11,346.58
Sep 21 2017,342.41,369.07,321.81,330.05
Sep 20 2017,323.78,351.19,316.72,342.43
Sep 19 2017,333.64,334.27,312.91,324.26
Sep 18 2017,311.89,335.44,311.89,333.00
Sep 17 2017,298.59,315.58,278.17,313.84
Sep 16 2017,284.50,301.23,276.57,298.86
Sep 15 2017,236.05,300.11,220.51,284.36
Sep 14 2017,301.11,303.74,236.24,236.24
Sep 13 2017,324.72,325.16,287.25,301.29
Sep 12 2017,318.42,328.60,318.42,325.97
Sep 11 2017,322.02,332.12,315.91,318.40
Sep 10 2017,323.24,323.24,295.86,320.11
Sep 09 2017,334.95,335.13,313.69,323.14
Sep 08 2017,343.53,368.17,317.95,333.21
Sep 07 2017,346.45,347.57,333.80,343.91
Sep 06 2017,328.15,348.45,326.95,347.17
Sep 05 2017,316.88,333.83,286.53,327.23
Sep 04 2017,356.94,357.21,301.84,316.13
Sep 03 2017,354.63,373.08,338.23,356.39
Sep 02 2017,393.53,395.92,329.27,350.17
Sep 01 2017,377.92,393.35,376.34,393.35
Aug 31 2017,368.57,380.34,368.18,378.32
Aug 30 2017,359.59,375.70,358.69,368.34
Aug 29 2017,357.16,367.34,354.49,359.55
Aug 28 2017,362.50,369.19,351.24,356.78
Aug 27 2017,400.42,400.63,358.23,362.89
Aug 26 2017,315.28,409.77,315.28,399.85
Aug 25 2017,317.91,320.65,306.68,315.89
Aug 24 2017,292.96,315.37,291.19,315.37
Aug 23 2017,290.46,299.14,287.73,292.57
Aug 22 2017,280.29,299.98,260.53,291.50
Aug 21 2017,293.77,300.52,275.94,279.58
Aug 20 2017,288.20,327.25,287.82,294.20
Aug 19 2017,224.67,329.98,224.67,288.70
Aug 18 2017,233.84,240.41,219.42,224.28
Aug 17 2017,231.58,260.60,229.08,233.62
Aug 16 2017,203.85,233.53,198.92,232.02
Aug 15 2017,199.80,206.13,192.73,203.52
Aug 14 2017,198.32,202.89,195.35,199.44
Aug 13 2017,205.59,207.19,192.14,198.17
Aug 12 2017,206.22,210.64,201.38,205.49
Aug 11 2017,200.82,209.11,199.59,205.79
Aug 10 2017,199.56,205.54,195.78,200.96
Aug 09 2017,203.74,205.87,193.33,199.21
Aug 08 2017,196.58,205.50,194.97,203.84
Aug 07 2017,189.07,197.91,187.05,197.19
Aug 06 2017,193.71,195.00,188.43,189.13
Aug 05 2017,186.96,195.55,185.73,193.83
Aug 04 2017,186.92,189.96,186.13,186.97
Aug 03 2017,183.17,189.19,180.28,186.99
Aug 02 2017,185.16,186.24,181.42,182.93
Aug 01 2017,179.20,186.23,177.26,184.75
Jul 31 2017,173.15,180.05,171.76,178.51
Jul 30 2017,185.45,187.95,172.47,172.82
Jul 29 2017,185.11,187.66,169.34,185.25
Jul 28 2017,194.00,196.91,181.57,185.61
Jul 27 2017,195.08,199.43,192.47,194.09
Jul 26 2017,195.49,200.88,189.33,194.37
Jul 25 2017,204.04,212.40,189.03,195.52
Jul 24 2017,191.11,216.62,187.29,204.02
Jul 23 2017,195.02,195.74,187.26,191.03
Jul 22 2017,186.13,195.55,185.55,195.31
Jul 21 2017,188.58,193.80,180.68,185.86
Jul 20 2017,154.85,193.87,154.85,188.59
Jul 19 2017,157.98,170.25,153.87,155.65
Jul 18 2017,154.50,165.70,146.25,158.07
Jul 17 2017,132.34,154.91,132.34,153.85
Jul 16 2017,139.65,143.54,119.17,132.64
Jul 15 2017,161.28,163.44,139.91,140.14
Jul 14 2017,171.48,171.91,156.49,161.08
Jul 13 2017,179.83,182.61,169.57,171.24
