Date,Open,High,Low,Close,Volume,Market Cap
Mar 30 2018,1.09,1.14,1.05,1.11,37597100,3034950000
Mar 29 2018,1.19,1.19,1.07,1.09,38707000,3315390000
Mar 28 2018,1.17,1.24,1.16,1.19,24150200,3258650000
Mar 27 2018,1.23,1.24,1.16,1.17,29726700,3431480000
Mar 26 2018,1.32,1.33,1.18,1.24,32849900,3675430000
Mar 25 2018,1.31,1.35,1.28,1.32,26291200,3654020000
Mar 24 2018,1.35,1.41,1.33,1.33,29655100,3762660000
Mar 23 2018,1.33,1.34,1.25,1.34,30507500,3684080000
Mar 22 2018,1.37,1.41,1.27,1.33,35665500,3807750000
Mar 21 2018,1.45,1.49,1.34,1.37,57554800,4037020000
Mar 20 2018,1.33,1.52,1.30,1.44,67039500,3697640000
Mar 19 2018,1.24,1.34,1.19,1.33,55966600,3437690000
Mar 18 2018,1.14,1.29,1.06,1.23,111700000,3168980000
Mar 17 2018,1.10,1.15,1.07,1.14,38853100,3066750000
Mar 16 2018,1.10,1.15,1.03,1.10,29977700,3061520000
Mar 15 2018,1.12,1.14,1.04,1.09,43235400,3119630000
Mar 14 2018,1.31,1.37,1.11,1.12,45727000,3640500000
Mar 13 2018,1.34,1.35,1.29,1.31,22675600,3712760000
Mar 12 2018,1.39,1.42,1.28,1.34,27739400,3863920000
Mar 11 2018,1.31,1.43,1.28,1.39,31315700,3629610000
Mar 10 2018,1.40,1.47,1.29,1.31,31847500,3892330000
Mar 09 2018,1.40,1.41,1.20,1.39,58591300,3881080000
Mar 08 2018,1.53,1.55,1.39,1.40,35024800,4256700000
Mar 07 2018,1.70,1.71,1.38,1.53,68445500,4721900000
Mar 06 2018,1.87,1.89,1.66,1.70,61796200,5201320000
Mar 05 2018,1.90,1.90,1.86,1.88,24413600,5272230000
Mar 04 2018,1.86,1.91,1.81,1.89,28452300,5179190000
Mar 03 2018,1.91,1.96,1.85,1.86,25861200,5305170000
Mar 02 2018,1.98,2.01,1.86,1.92,27602600,5507790000
Mar 01 2018,1.85,2.01,1.84,1.97,41523600,5152710000
Feb 28 2018,1.97,2.02,1.85,1.86,39190300,5478340000
Feb 27 2018,1.88,2.08,1.82,1.97,63311700,5217570000
Feb 26 2018,1.82,1.90,1.77,1.87,43478500,5049480000
Feb 25 2018,1.77,1.98,1.75,1.82,103799000,4916700000
Feb 24 2018,1.75,1.80,1.65,1.78,41594100,4867920000
Feb 23 2018,1.61,1.81,1.58,1.75,39323100,4480180000
Feb 22 2018,1.75,1.86,1.58,1.62,53125800,4865110000
Feb 21 2018,1.90,1.96,1.74,1.76,50765900,5270980000
Feb 20 2018,2.09,2.12,1.88,1.91,49930400,5800510000
Feb 19 2018,1.99,2.14,1.99,2.09,32581400,5521610000
Feb 18 2018,2.20,2.21,1.98,1.98,43653800,6121620000
Feb 17 2018,2.10,2.21,2.08,2.20,42149700,5842140000
Feb 16 2018,2.12,2.18,2.00,2.10,44770200,5894520000
Feb 15 2018,2.03,2.17,2.00,2.13,65315300,5635360000
Feb 14 2018,1.82,2.03,1.79,2.03,53007600,5052450000
Feb 13 2018,1.87,1.87,1.75,1.81,30056900,5211600000
