Date,Open,High,Low,Close,Volume,Market Cap
May 23 2018,12.33,12.46,10.76,10.88,1591750000,10763400000
May 22 2018,13.52,13.53,12.25,12.27,991159000,11773000000
May 21 2018,14.03,14.17,13.26,13.51,1063000000,12187300000
May 20 2018,13.17,14.19,13.05,14.01,1228360000,11420300000
May 19 2018,13.04,13.35,12.66,13.17,1018750000,11276900000
May 18 2018,12.37,13.18,12.08,13.00,1343680000,10676400000
May 17 2018,12.87,13.94,12.21,12.43,1644330000,11075900000
May 16 2018,12.93,13.17,12.06,12.77,1534140000,11104700000
May 15 2018,14.05,14.44,12.65,12.99,1371870000,12031300000
May 14 2018,14.93,15.02,13.39,14.02,1702960000,12757300000
May 13 2018,14.23,15.26,13.80,14.94,1589950000,12122000000
May 12 2018,14.98,15.24,12.59,14.25,3091070000,12733100000
May 11 2018,17.46,17.78,14.56,14.90,2919820000,14807300000
May 10 2018,17.97,18.73,17.52,17.54,1287810000,15199400000
May 09 2018,18.12,18.14,17.28,17.94,1199540000,15271900000
May 08 2018,17.98,18.88,17.90,18.14,1449940000,15122600000
May 07 2018,17.67,18.40,16.88,17.98,2000850000,14823500000
May 06 2018,17.74,17.90,16.86,17.47,1434830000,14847200000
May 05 2018,17.14,18.57,17.14,17.80,1614730000,14310400000
May 04 2018,17.71,18.06,16.47,17.15,1749310000,14751200000
May 03 2018,19.27,19.27,17.18,17.77,2266540000,16009800000
May 02 2018,18.93,19.51,18.42,19.21,2410370000,15695000000
May 01 2018,17.67,19.08,16.31,18.95,3330130000,14610700000
Apr 30 2018,21.64,21.64,16.86,17.58,4073370000,17849100000
Apr 29 2018,18.88,22.89,18.88,21.54,4870720000,15530900000
Apr 28 2018,16.69,19.51,16.69,18.87,2728300000,13698900000
Apr 27 2018,15.47,17.95,14.99,16.67,2486410000,12669800000
Apr 26 2018,14.43,15.49,14.00,15.49,1566850000,11789900000
Apr 25 2018,15.10,15.54,13.60,14.46,3005040000,12303900000
Apr 24 2018,11.73,16.00,11.73,15.31,3223780000,9530670000
Apr 23 2018,11.33,11.79,11.32,11.61,662116000,9186100000
Apr 22 2018,11.07,11.83,10.81,11.35,1001900000,8955950000
Apr 21 2018,11.58,11.65,10.31,11.11,1142260000,9340280000
Apr 20 2018,9.51,11.57,9.51,11.45,1512340000,7652010000
Apr 19 2018,9.02,9.44,8.96,9.44,554116000,7233090000
Apr 18 2018,8.49,9.15,8.49,9.03,518189000,6792740000
Apr 17 2018,8.13,8.99,8.09,8.51,798768000,6492150000
Apr 16 2018,8.39,8.39,7.84,8.10,455204000,6667990000
Apr 15 2018,8.63,8.63,7.72,8.40,861263000,6845830000
Apr 14 2018,8.75,8.93,8.08,8.60,811487000,6916390000
Apr 13 2018,8.71,9.27,8.53,8.74,936743000,6866660000
Apr 12 2018,8.50,9.05,8.00,8.70,1717360000,6683280000
Apr 11 2018,6.00,8.82,5.99,8.49,1818530000,4706770000
Apr 10 2018,5.88,6.07,5.80,6.00,225494000,4600680000
Apr 09 2018,5.98,6.07,5.80,5.87,226565000,4666280000
Apr 08 2018,5.90,6.01,5.85,5.97,166915000,4587800000
Apr 07 2018,5.88,6.04,5.85,5.91,220028000,4561700000
Apr 06 2018,6.36,6.41,5.76,5.89,451441000,4918340000
Apr 05 2018,5.72,6.46,5.50,6.40,542464000,4419560000
Apr 04 2018,6.11,6.14,5.61,5.73,260820000,4702420000
Apr 03 2018,5.90,6.19,5.82,6.13,306369000,4529740000
Apr 02 2018,5.68,5.96,5.56,5.89,314995000,4348740000
Apr 01 2018,6.00,6.04,5.25,5.66,401303000,4580830000
Mar 31 2018,6.11,6.22,5.96,5.99,224213000,4650950000
Mar 30 2018,6.03,6.20,5.86,6.10,506610000,4576620000
Mar 29 2018,6.31,6.37,5.92,6.02,626903000,4777000000
Mar 28 2018,5.88,6.55,5.82,6.29,616042000,4442050000
Mar 27 2018,5.90,6.44,5.28,5.91,877543000,4447060000
Mar 26 2018,6.53,6.57,5.42,5.90,553672000,4906950000
Mar 25 2018,6.60,6.76,6.49,6.52,274460000,4947110000
Mar 24 2018,6.99,7.12,6.63,6.63,357179000,5218490000
Mar 23 2018,7.02,7.14,6.42,7.01,846830000,5227640000
Mar 22 2018,7.01,7.34,6.32,7.03,1062430000,5202800000
Mar 21 2018,6.07,7.24,5.98,7.03,765790000,4492160000
Mar 20 2018,6.17,6.40,5.45,6.01,667072000,4553120000
Mar 19 2018,4.71,6.36,4.57,6.36,660669000,3468420000
Mar 18 2018,4.65,4.68,3.95,4.65,333501000,3417960000
Mar 17 2018,5.09,5.11,4.61,4.67,140080000,3725280000
Mar 16 2018,5.18,5.32,4.95,5.09,184719000,3785350000
Mar 15 2018,5.35,5.38,4.87,5.17,293299000,3899390000
Mar 14 2018,5.87,5.97,5.25,5.34,210733000,4266070000
