Mean,Standard Deviation
1.3314153279120551e+20,2.3300807302004084e+20
43793861809338.555,101184677927551.8
45253723926867.97,105046267278211.38
41956840875081.35,95562567910231.6
3.3908308503217816e+19,9.255639559936744e+19
7.403486055941982e+20,1.7040443788544552e+21
46830232257386.28,109519159901058.05
43381280370301.21,99437740884677.34
3.5178039222847693e+19,9.667956299980236e+19
7.64924083305998e+20,1.7687034437012546e+21
40300771446898.414,90906404628696.4
3.224919244668659e+19,8.614274327664347e+19
7.094122662775351e+20,1.6098953243266617e+21
2.887574170020133e+25,9.779471492327321e+25
5.72897184600496e+26,1.556058732813199e+27
1.2517789576988516e+28,2.8702488240523654e+28
298896037033511.0,985349211841405.6
309817215129360.0,1023697735078857.9
283800130728675.2,921057447836295.4
2.4863042267136288e+20,9.354752438111779e+20
5.040447700661499e+21,1.6532429454348313e+22
321688007224265.56,1068053217022914.5
294430327024949.94,959615987794951.6
2.5857952112293714e+20,9.751581509958688e+20
5.224028934857819e+21,1.7174641968116058e+22
270356287579462.38,867789913711944.5
2.3428661867897546e+20,8.634412738302236e+20
4.786640839129416e+21,1.5455263584999073e+22
2.247866664077856e+26,9.991622332168305e+26
4.189458187489638e+27,1.569114589815553e+28
8.50084741754362e+28,2.7739745106038266e+29
334635210498348.1,1119910825467333.4
305993554280490.75,1004289021707800.8
2.694848238189749e+20,1.0221016790427789e+21
5.423541923839775e+21,1.7917366578467746e+22
280718229156261.62,906534061515322.5
2.4395036511774353e+20,9.035707243279117e+20
4.965337382384254e+21,1.6100972084583715e+22
2.345989978553113e+26,1.0466878838702873e+27
4.3566482781215325e+27,1.6355967044005024e+28
8.809460144840073e+28,2.8815240328357246e+29
258310097894941.47,822961845459310.6
2.216947743841262e+20,8.055872315995018e+20
4.5605678373667235e+21,1.4562722219092924e+22
2.1006911544324162e+26,9.115769768991686e+26
3.9484225375550893e+27,1.448413571481856e+28
8.074101610506879e+28,2.5935044592072077e+29
2.2056019709098574e+32,1.1872693194830201e+33
3.784393099575514e+33,1.6758132009138253e+34
7.059877287344038e+34,2.6320139077970753e+35
1.4338369797705104e+36,4.6546633473652053e+36
2421957045568437.0,1.090730109772356e+16
2515293759453860.5,1.130516477926703e+16
2281303612073858.0,1.0165641489791428e+16
2.121419581792185e+21,1.032120610207595e+22
4.074456638048e+22,1.828133273947038e+23
2617144582101229.5,1.17615383617569e+16
2371954096889619.5,1.0564407048917042e+16
2.2087594103509809e+21,1.0719334985291962e+22
4.231148751122521e+22,1.8947609554810155e+23
2157045600751911.8,9547312061609842.0
1.983759580134876e+21,9.498005197306362e+21
3.838289512642677e+22,1.7038706562449048e+23
1.9968885242170745e+27,1.0893923963420328e+28
3.5668101191734e+28,1.730042506081271e+29
6.854886258814631e+29,3.064101862725958e+30
2728682680241524.0,1.229052671446552e+16
2470968657789716.5,1.1022839613986242e+16
2.304778564672485e+21,1.1186235578790783e+22
4.4021156329626674e+22,1.9711829742881662e+23
2245234576148204.5,9947194900455782.0
2.068430633466797e+21,9.898653982134807e+21
3.9904759263378216e+22,1.770650379604837e+23
2.08463063820361e+27,1.1362816168184598e+28
3.7134064837487576e+28,1.7967361489019806e+29
7.117947584550326e+29,3.1756792398842015e+30
2046584934487216.2,9024161696895372.0
1.863710406758e+21,8.83141936038176e+21
3.6296260434477692e+22,1.600264234645757e+23
1.853113146232002e+27,9.90997959509114e+27
3.3357416948013465e+28,1.592119823103105e+29
6.45833370922612e+29,2.8559036545477174e+30
2.0178722360622347e+33,1.273588766889605e+34
3.355644970231164e+34,1.826287415671006e+35
5.997286471059965e+35,2.89992352458849e+36
1.1533427427431232e+37,5.135745278676634e+37
2851284990040274.5,1.2910403133463614e+16
2579504703439375.5,1.1555204512869958e+16
2.41075755711479e+21,1.1740702277302921e+22
4.589322557211884e+22,2.059759068561718e+23
2341645966995235.5,1.0407649023025354e+16
2.161620828449429e+21,1.0369890574400253e+22
4.156685603605144e+22,1.847417937527195e+23
2.1817935255176217e+27,1.1923730065218201e+28
3.8745536756737036e+28,1.8749444939066284e+29
7.404942464732468e+29,3.3036519753570357e+30
2132507228480864.2,9425166184561422.0
1.945949445415652e+21,9.234523201608864e+21
3.777683356972665e+22,1.667231486170098e+23
1.9380174517124315e+27,1.0385565642823339e+28
3.477862243023651e+28,1.6592374110686556e+29
6.713837334976574e+29,2.9677373014189655e+30
2.1124107131069367e+33,1.33678301581005e+34
3.5028907124382606e+34,1.904870392518108e+35
6.2433495080321154e+35,3.0116477305555246e+36
1.1975081531480006e+37,5.322597653428109e+37
1947814449525793.0,8575599665803514.0
1.758266339869826e+21,8.281794312565175e+21
3.4441096404846097e+22,1.51259954119432e+23
1.7293387885468032e+27,9.134712247346493e+27
3.1342122329509674e+28,1.480430237827412e+29
6.107919748321904e+29,2.6823019532545394e+30
1.858251029094746e+33,1.150709097369033e+34
